user_id,skills
1,"Java,React,Spring Boot,MongoDB,Machine Learning,TypeScript"
2,"Machine Learning,FastAPI,Python,NLP,Kubernetes,AWS"
3,"Docker,C++,NLP,FastAPI,Python"
4,"FastAPI,Angular,JavaScript,Node.js"
5,"Docker,SQL,MongoDB,React"
6,"Node.js,SQL,TypeScript,Docker,Django"
7,"Python,NLP,Deep Learning,FastAPI"
8,"Machine Learning,Java,Docker,NLP,TypeScript"
9,"Python,Django,React"
10,"Django,React,Docker,NLP,FastAPI,Machine Learning"
11,"Spring Boot,FastAPI,JavaScript,Java,Data Engineering,MongoDB"
12,"TypeScript,JavaScript,MongoDB,Data Engineering"
13,"Node.js,Java,Docker"
14,"Spring Boot,Data Engineering,Angular,Node.js,MongoDB,AWS"
15,"Docker,SQL,Node.js,Django,MongoDB"
16,"JavaScript,Machine Learning,Kubernetes,SQL,Data Engineering,Java"
17,"MongoDB,C++,Docker,Django"
18,"React,AWS,C++,FastAPI,Node.js"
19,"NLP,Kubernetes,Deep Learning"
20,"Angular,Node.js,Deep Learning"
21,"JavaScript,Docker,FastAPI,C++,Data Engineering"
22,"Spring Boot,TypeScript,Deep Learning,NLP,React"
23,"FastAPI,Spring Boot,Kubernetes,Deep Learning,TypeScript,MongoDB"
24,"Angular,SQL,Machine Learning,Kubernetes"
25,"JavaScript,Data Engineering,Deep Learning,MongoDB,Django"
26,"Angular,React,Data Engineering"
27,"Python,Machine Learning,JavaScript,Kubernetes"
28,"React,Java,Data Engineering,SQL,MongoDB,Django"
29,"MongoDB,Django,Python"
30,"SQL,Machine Learning,Django,Spring Boot"
31,"NLP,Spring Boot,Docker,Python,Node.js,Angular"
32,"FastAPI,MongoDB,Kubernetes,React,Django"
33,"Node.js,MongoDB,AWS"
34,"Python,Data Engineering,Django,SQL,Kubernetes,Machine Learning"
35,"C++,Python,Java"
36,"Machine Learning,Docker,JavaScript,Django,Java"
37,"Angular,FastAPI,TypeScript,NLP"
38,"FastAPI,AWS,Java,MongoDB,Data Engineering"
39,"Java,Kubernetes,React,Spring Boot,AWS,Django"
40,"C++,Angular,NLP,Machine Learning"
41,"Angular,AWS,MongoDB"
42,"Deep Learning,AWS,Machine Learning,Django,JavaScript,Data Engineering"
43,"Docker,Django,MongoDB,Kubernetes,C++"
44,"C++,React,Kubernetes,Angular,Python,Deep Learning"
45,"Java,MongoDB,Spring Boot,NLP"
46,"Python,C++,Deep Learning,Java,Node.js,FastAPI"
47,"Kubernetes,AWS,MongoDB,Machine Learning,Deep Learning,Django"
48,"Machine Learning,Kubernetes,Java"
49,"TypeScript,Node.js,Django,JavaScript,MongoDB,Machine Learning"
50,"Python,React,AWS,Angular,JavaScript"
51,"Deep Learning,SQL,Docker"
52,"AWS,Kubernetes,Deep Learning,Machine Learning"
53,"SQL,AWS,MongoDB"
54,"Java,MongoDB,FastAPI"
55,"NLP,SQL,C++,Python,React"
56,"NLP,Java,Data Engineering,Spring Boot"
57,"React,Django,Deep Learning"
58,"AWS,JavaScript,React"
59,"JavaScript,Spring Boot,FastAPI,Node.js"
60,"JavaScript,Docker,AWS,Spring Boot,Python,Django"
61,"Python,TypeScript,C++,Spring Boot,Django"
62,"Data Engineering,MongoDB,Angular,FastAPI,Deep Learning,Java"
63,"Deep Learning,Machine Learning,FastAPI"
64,"Node.js,React,Deep Learning,Data Engineering"
65,"Docker,Deep Learning,React,Data Engineering,Machine Learning,Java"
66,"Kubernetes,MongoDB,React,Node.js,Deep Learning,Python"
67,"MongoDB,JavaScript,TypeScript,C++,FastAPI"
68,"C++,Django,Kubernetes"
69,"Data Engineering,Python,NLP"
70,"Deep Learning,Docker,Angular"
71,"Java,React,Docker"
72,"C++,SQL,Django,Machine Learning,Kubernetes"
73,"Java,Django,FastAPI"
74,"React,Machine Learning,C++"
75,"TypeScript,Node.js,React,FastAPI,AWS"
76,"AWS,Angular,JavaScript,Node.js,FastAPI"
77,"Docker,Kubernetes,React"
78,"React,Docker,Java,FastAPI,Deep Learning"
79,"Angular,TypeScript,JavaScript,React,Node.js,Docker"
80,"React,Deep Learning,C++,Angular"
81,"Java,React,SQL,Machine Learning"
82,"Machine Learning,Python,Django"
83,"AWS,Node.js,Machine Learning,Deep Learning,TypeScript,Django"
84,"React,Java,Spring Boot,Angular,MongoDB,Data Engineering"
85,"Python,Spring Boot,Angular,Deep Learning,Java"
86,"Python,JavaScript,Java,Kubernetes,SQL,AWS"
87,"Deep Learning,NLP,Angular,TypeScript"
88,"AWS,JavaScript,Kubernetes"
89,"Kubernetes,Angular,React,TypeScript"
90,"Java,Machine Learning,Data Engineering,NLP,Node.js,Angular"
91,"Python,Data Engineering,TypeScript"
92,"AWS,Java,SQL"
93,"C++,Django,Node.js,Python,AWS"
94,"JavaScript,React,Machine Learning"
95,"Kubernetes,React,Docker,Node.js"
96,"Docker,Data Engineering,C++,TypeScript,Deep Learning,MongoDB"
97,"JavaScript,Python,TypeScript,Machine Learning"
98,"React,Data Engineering,FastAPI,Machine Learning"
99,"Data Engineering,Kubernetes,C++,Node.js,Deep Learning,Machine Learning"
100,"Kubernetes,Spring Boot,NLP,FastAPI,Django,C++"
